,Company,New Filing?,Reported funding,Incremental Cash ,Date,New or Amended
213,"STEBEN SELECT MULTI-STRATEGY PARTNERS, L.P.  (Pooled Investment Fund - Gaithersburg, MD)",No,"$37,945,486",$0,2018-11-06,Amended
214,"STEBEN SELECT MULTI-STRATEGY MASTER FUND  (Pooled Investment Fund - Gaithersburg, MD)",No,"$64,381,500","$5,752,224",2018-11-06,Amended
215,"Lone Star Fund XI, L.P.  (Pooled Investment Fund - Hamilton, D0)",No,"$5,541,350,000","$2,643,653,370",2018-11-06,Amended
216,"Lone Star Residential Mortgage Fund II, L.P.  (Pooled Investment Fund - Hamilton, D0)",Yes,Yet to Sell,$0,2018-11-06,New Filing
217,"Tianyou Offshore Fund, Ltd.  (Pooled Investment Fund - Annandale, VA)",No,"$13,095,829","$5,914,602",2018-11-06,Amended
218,"RED ACE CAPITAL MANAGEMENT SERIES XIII INVESTORS LLC  (Commercial - Bethesda, MD)",Yes,"$375,000","$375,000",2018-11-05,New Filing
219,"New Touch Digital, Inc.  (Other Technology - Washington, DC)",Yes,"$143,795","$143,795",2018-11-05,New Filing
220,"RCP-MQ, LLC  (Investing - Bethesda, MD)",Yes,"$15,025,000","$15,025,000",2018-11-05,New Filing
221,"Accolade Partners VII, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,"$107,550,000","$107,550,000",2018-11-05,New Filing
222,"Digital Global Systems, Inc.  (Other Technology - Beltsville, MD)",Yes,"$4,500,000","$4,500,000",2018-11-02,New Filing
223,"Digital Global Systems, Inc.  (Other Technology - Beltsville, MD)",Yes,"$3,040,000","$3,040,000",2018-11-02,New Filing
224,"MERIDIAN REALTY PARTNERS SERIES III, L.L.C.  (Pooled Investment Fund - Bethesda, MD)",Yes,Yet to Sell,$0,2018-11-01,New Filing
225,"MERIDIAN REALTY PARTNERS H III, L.P.  (Pooled Investment Fund - Bethesda, MD)",Yes,Yet to Sell,$0,2018-11-01,New Filing
226,"MERIDIAN REALTY PARTNERS III, L.P.  (Pooled Investment Fund - Bethesda, MD)",Yes,Yet to Sell,$0,2018-11-01,New Filing
227,"MERIDIAN REALTY PARTNERS NUS III, L.P.  (Pooled Investment Fund - Bethesda, MD)",Yes,Yet to Sell,$0,2018-11-01,New Filing
228,"Sierra Springs Diversified Income Fund, LP  (Pooled Investment Fund - Ashton, MD)",No,"$1,370,000",$0,2018-11-01,Amended
229,"SAK Developers, LLC  (Commercial - Alexandria, VA)",Yes,"$3,210,000","$3,210,000",2018-10-31,New Filing
230,"Plutus Partners, LLC  (Other Banking and Financial Services - Washington, DC)",No,"$62,000","$62,000",2018-10-31,Amended
231,"B1 Earthgroup LLC  (Other Health Care - Olney, MD)",Yes,"$1,350,000","$1,350,000",2018-10-31,New Filing
232,"Emergent BioSolutions Inc.  (Biotechnology - Gaithersburg, MD)",Yes,"$47,870,412","$47,870,412",2018-10-30,New Filing
233,"Accolade Partners Growth I, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$102,500,000","$52,400,000",2018-10-30,Amended
234,"Accolade Partners Growth I Feeder, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,"$38,850,000","$38,850,000",2018-10-30,New Filing
235,"Spot Hype INC.  (Other Technology - Washington, DC)",No,Yet to Sell,$0,2018-10-29,Amended
236,"9Lenses, Inc.  (Other Technology - Tysons Corner, VA)",Yes,"$1,743,902","$1,743,902",2018-10-29,New Filing
237,"SONS OF ANACREON LLC  (Restaurants - Washington, DC)",Yes,"$975,000","$975,000",2018-10-29,New Filing
238,"Pactolus Tapestry LLC  (Pooled Investment Fund - Vienna, VA)",Yes,"$7,250,000","$7,250,000",2018-10-26,New Filing
239,"Machfu Inc.  (Other Technology - Rockville, MD)",Yes,"$451,500","$451,500",2018-10-25,New Filing
240,"Ikhaya Wines LLC  (Other - Washington, DC)",Yes,"$150,000","$150,000",2018-10-24,New Filing
241,"BA Chevy Chase Investors I, LLC  (Other Real Estate - Greenbelt, MD)",Yes,"$29,500,000","$29,500,000",2018-10-23,New Filing
242,"Farmbird Restaurant Group, LLC  (Restaurants - Washington, DC)",Yes,"$1,082,966","$1,082,966",2018-10-23,New Filing
243,"FORT Global Futures, L.P.  (Pooled Investment Fund - Chevy Chase, MD)",No,"$11,100,112","$50,000",2018-10-22,Amended
244,"FORT Global Trend L.P.  (Pooled Investment Fund - Chevy Chase, MD)",No,Yet to Sell,$0,2018-10-22,Amended
245,"FDS EMC II, LLC  (Construction - Arlington, VA)",Yes,"$1,002,220","$1,002,220",2018-10-19,New Filing
246,"Technology & Business Solutions, LLC  (Other Technology - Laurel, MD)",Yes,"$155,000","$155,000",2018-10-19,New Filing
247,"Cantina Calle N LLC  (Restaurants - Washington, DC)",No,"$107,500",$0,2018-10-18,Amended
248,"QED LatAm Fund II, LP  (Pooled Investment Fund - Alexandria, VA)",Yes,Yet to Sell,$0,2018-10-18,New Filing
249,"Penzance DC Real Estate Fund LP  (Pooled Investment Fund - Washington, DC)",No,"$255,000,000","$221,321,000",2018-10-18,Amended
250,"BM1 P, a Series of PROOF Master I, LLC  (Pooled Investment Fund - Reston, VA)",No,"$14,954,750","$13,976,250",2018-10-18,Amended
251,"BM2 P, LLC, a series of PROOF Master I, LLC  (Pooled Investment Fund - Reston, VA)",Yes,"$10,300,000","$10,300,000",2018-10-18,New Filing
252,"Syncurity Corp  (Other Technology - Bethesda, MD)",Yes,"$3,747,606","$3,747,606",2018-10-17,New Filing
253,"Evolent Health, Inc.  (Other - Arlington, VA)",Yes,"$83,173,120","$83,173,120",2018-10-16,New Filing
254,"923/927 HOTEL, LLC  (Commercial - Potomac, MD)",Yes,"$1,300,000","$1,300,000",2018-10-16,New Filing
255,"INDURE Build-to-Core Fund, LLC  (Other Real Estate - Washington, DC)",Yes,"$1,342,984,867","$1,342,984,867",2018-10-16,New Filing
256,"Aledade, Inc.  (Other Health Care - Bethesda, MD)",No,"$46,149,963","$23,149,989",2018-10-16,Amended
257,"Invictus Opportunity Fund II, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$197,352,000","$66,100,000",2018-10-15,Amended
258,"QPoint 19 LLC  (Construction - Tysons, VA)",Yes,"$2,000,000","$2,000,000",2018-10-15,New Filing
259,"QPoint 20 LLC  (Construction - Tysons, VA)",Yes,"$450,000","$450,000",2018-10-15,New Filing
260,"XappMedia, Inc.  (Other Technology - Washington, DC)",Yes,"$750,000","$750,000",2018-10-12,New Filing
261,"Updata Partners VI, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2018-10-12,New Filing
262,"Amware Logistics 2, LLC  (Investing - Bethesda, MD)",Yes,"$5,100,000","$5,100,000",2018-10-11,New Filing
263,"Neighborhood Sun Benefit Corp.  (Other Energy - Silver Spring, MD)",Yes,"$275,000","$275,000",2018-10-11,New Filing
264,"Cantina Calle N LLC  (Restaurants - Washington, DC)",Yes,"$107,500","$107,500",2018-10-10,New Filing
265,"Lines Up, Inc.  (Other - Arlington, VA)",Yes,"$250,000","$250,000",2018-10-10,New Filing
266,"Altmore Capital CRE Fund, LP  (Commercial - Mclean, VA)",Yes,Yet to Sell,$0,2018-10-09,New Filing
267,"Spot Hype INC.  (Other Technology - Washington, DC)",Yes,Yet to Sell,$0,2018-10-09,New Filing
268,"Citizens Brewing, LLC  (Manufacturing - Silver Spring, MD)",Yes,Yet to Sell,$0,2018-10-09,New Filing
269,"Maryland Cultivation & Processing, L.L.C.  (Other - Washington, DC)",Yes,"$2,500,000","$2,500,000",2018-10-09,New Filing
270,"Pupatella RD I LLC  (Restaurants - Arlington, VA)",Yes,"$3,750,000","$3,750,000",2018-10-05,New Filing
271,"Carlyle Property Investors-B, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$110,558,000","$5,000,000",2018-10-05,Amended
272,"Carlyle Property Investors-A, L.P.  (Pooled Investment Fund - Washington, DC)",No,Yet to Sell,$0,2018-10-05,Amended
273,"GS BW UNITS CLASS A LLC  (Commercial - Bethesda, MD)",Yes,"$700,000","$700,000",2018-10-05,New Filing
274,"SocialAlpha Investment Fund US LP  (Pooled Investment Fund - Bethesda, MD)",No,"$750,000","$250,000",2018-10-04,Amended
275,"Carlyle Mobile Home Park, LLC  (Other Real Estate - Washington, DC)",Yes,"$991,000","$991,000",2018-10-04,New Filing
276,"Paykii inc  (Other Technology - Arlington, VA)",No,"$1,600,000","$500,000",2018-10-02,Amended
277,"CAP IV Coinvestment, LP  (Pooled Investment Fund - Washington, DC)",No,"$245,850,000",$0,2018-10-02,Amended
278,"Carlyle Realty Coinvestment VII, LP  (Pooled Investment Fund - Washington, DC)",No,"$120,000,000","$17,970,000",2018-10-02,Amended
279,"CEP IV Coinvestment, LP  (Pooled Investment Fund - Washington, DC)",No,"$210,100,000",$0,2018-10-02,Amended
280,"CETP III Coinvestment, LP  (Pooled Investment Fund - Washington, DC)",No,"$59,000,000","$4,398,686",2018-10-02,Amended
281,"CJIP III Coinvestment, LP  (Pooled Investment Fund - Washington, DC)",No,"$50,965,200",$0,2018-10-02,Amended
282,"CP VI Coinvestment A, LP  (Pooled Investment Fund - Washington, DC)",No,"$840,900,000",$0,2018-10-02,Amended
283,"CP VI Coinvestment B, LP  (Pooled Investment Fund - Washington, DC)",No,"$40,000,000",$0,2018-10-02,Amended
284,"CPF Coinvestment, LP  (Pooled Investment Fund - Washington, DC)",No,"$10,000,000",$0,2018-10-02,Amended
285,"CPP II Co-Investment, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$33,732,970",$0,2018-10-02,Amended
286,"Carlyle CLO Coinvestors, LP  (Pooled Investment Fund - Washington, DC)",No,"$225,661,419","$51,485,020",2018-10-02,Amended
287,"Carlyle Europe CLO Coinvestors, LP  (Pooled Investment Fund - Washington, DC)",No,"$236,964,713","$84,415,528",2018-10-02,Amended
288,"Illumen Capital, LP  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2018-10-01,New Filing
289,"3451 Benning LLC  (Commercial - Washington Dc, DC)",Yes,"$105,000","$105,000",2018-10-01,New Filing
290,"TMG 1901 L STREET CO-INVEST, L.P.  (Pooled Investment Fund - Bethesda, MD)",No,"$39,849,546","$39,849,546",2018-09-27,Amended
291,"Cantina Calle N LLC  (Restaurants - Washington, DC)",Yes,"$5,000","$5,000",2018-09-26,New Filing
292,"ABP Investco, LLC  (Pooled Investment Fund - Washington, DC)",Yes,"$5,800,000","$5,800,000",2018-09-25,New Filing
293,"Cybrary, Inc.  (Other Technology - Greenbelt, MD)",Yes,"$2,499,916","$2,499,916",2018-09-25,New Filing
294,"Orlo Woodvale Investors, LLC  (Commercial - Laurel, MD)",Yes,"$3,170,000","$3,170,000",2018-09-21,New Filing
295,"RealAtom, Inc.  (Other - Tysons, VA)",Yes,"$2,200,000","$2,200,000",2018-09-21,New Filing
296,"RealAtom, Inc.  (Other - Tysons, VA)",Yes,"$1,350,000","$1,350,000",2018-09-21,New Filing
297,"Blank Slate Technologies LLC  (Other Technology - Arlington, VA)",Yes,"$125,000","$125,000",2018-09-21,New Filing
298,"Azure Source Capital, LLC  (Other Banking and Financial Services - Bethesda, MD)",No,"$2,275,000",$0,2018-09-20,Amended
299,"GLASSROOM US STOCK FUND LP  (Pooled Investment Fund - Alexandria, VA)",No,"$11,045,155","$350,000",2018-09-20,Amended
300,"RESIDENCES AT KENILWORTH PARK WORKING CAPITAL FUND, LLC  (Other Real Estate - Washington, DC)",Yes,Yet to Sell,$0,2018-09-20,New Filing
301,"RESIDENCES AT KENILWORTH PARK WORKING CAPITAL FUND, LLC  (Other Real Estate - Washington, DC)",Yes,Yet to Sell,$0,2018-09-20,New Filing
302,"EJF OpZone Fund I LP  (Pooled Investment Fund - Arlington, VA)",No,"$10,350,000","$10,350,000",2018-09-20,Amended
303,"SomniFix International LLC  (Other Health Care - Chevy Chase, MD)",Yes,"$116,000","$116,000",2018-09-19,New Filing
304,"Thycotic Software, LLC  (Other Technology - Washington, DC)",No,"$7,247,248","$1,028,700",2018-09-19,Amended
305,"Snap Style, Inc.  (Other - Washington, DC)",Yes,"$3,845,847","$3,845,847",2018-09-19,New Filing
306,"Syyclops Inc.  (Computers - Washington, DC)",Yes,"$123,000","$123,000",2018-09-19,New Filing
307,"Kumo Capital Partners Fund LP  (Pooled Investment Fund - Reston, VA)",Yes,Yet to Sell,$0,2018-09-19,New Filing
308,"BroadOak Fund IV, LLC  (Pooled Investment Fund - Bethesda, MD)",Yes,Yet to Sell,$0,2018-09-18,New Filing
309,"Carlyle Beacon Partners, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2018-09-18,New Filing
310,"Indiggo Associates, LLC  (Other - Bethesda, MD)",Yes,"$500,000","$500,000",2018-09-17,New Filing
311,"LiveSafe, Inc.  (Other Technology - Arlington, VA)",Yes,"$11,149,985","$11,149,985",2018-09-14,New Filing
312,"Mercaris Corp  (Other - Silver Spring, MD)",Yes,"$1,030,000","$1,030,000",2018-09-14,New Filing
313,"SCYTHE Inc.  (Other Technology - Arlington, VA)",Yes,"$3,000,000","$3,000,000",2018-09-13,New Filing
314,"SineWave Ventures Direct 5, L.P.  (Pooled Investment Fund - Arlington, VA)",Yes,"$455,000","$455,000",2018-09-13,New Filing
315,"Gathering, Inc.  (Other Technology - Arlington, VA)",Yes,"$2,005,922","$2,005,922",2018-09-13,New Filing
316,"MMAX Investment Partners, Inc.  (Other - Mc Lean, VA)",Yes,"$27,914,998","$27,914,998",2018-09-12,New Filing
317,"NATIONAL TELCOM CORP  (Insurance - Greenbelt, MD)",Yes,"$1,740,000","$1,740,000",2018-09-11,New Filing
318,"CRYPTONITE LLC  (Other Technology - Rockville, MD)",Yes,"$400,000","$400,000",2018-09-11,New Filing
319,"FORT Global Long/Short, L.P.  (Pooled Investment Fund - Chevy Chase, MD)",Yes,"$5,000,000","$5,000,000",2018-09-11,New Filing
320,"Black Square Capital Partners, LP  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2018-09-10,New Filing
321,"Parallel FTUSA LLC  (Other Health Care - Arlington, VA)",Yes,"$9,280,500","$9,280,500",2018-09-10,New Filing
322,"ORock Technologies, Inc.  (Other Technology - Reston, VA)",Yes,"$15,000,000","$15,000,000",2018-09-10,New Filing
323,"Maryland Grown Medicine, LLC  (Other - Glenn Dale, MD)",Yes,"$300,000","$300,000",2018-09-07,New Filing
324,"SONATYPE, INC  (Other Technology - Fulton, MD)",Yes,"$24,999,993","$24,999,993",2018-09-07,New Filing
325,"Ategra LS500, LP  (Pooled Investment Fund - Vienna, VA)",Yes,"$500,000","$500,000",2018-09-07,New Filing
326,"EJF Sidecar Fund, Series LLC  (Pooled Investment Fund - Arlington, VA)",No,"$41,490,000","$22,474,000",2018-09-07,Amended
327,"HH CT KS LLC  (Commercial - Silver Spring, MD)",Yes,"$3,000,000","$3,000,000",2018-09-06,New Filing
328,"Artemis Real Estate Partners Income & Growth Fund, L.P.  (Pooled Investment Fund - Chevy Chase, MD)",Yes,"$400,000,000","$400,000,000",2018-08-31,New Filing
329,"Justice Housing Partners, LP  (Pooled Investment Fund - Nw Washington Dc, DC)",Yes,"$1,770,000","$1,770,000",2018-08-31,New Filing
330,"MainStreet Bancshares, Inc.  (Commercial Banking - Fairfax, VA)",Yes,"$44,999,999","$44,999,999",2018-08-31,New Filing
331,"Willis Towers Watson Group Trust Real Assets Fund  (Pooled Investment Fund - Arlington, VA)",Yes,"$9,100,000","$9,100,000",2018-08-30,New Filing
332,"Entegra Investco LLC  (Pooled Investment Fund - Washington, DC)",Yes,"$20,000,000","$20,000,000",2018-08-30,New Filing
333,"Focus Value Capital Partners, LP  (Pooled Investment Fund - Mclean, VA)",No,Yet to Sell,$0,2018-08-29,Amended
334,"GS REAMES CLASS A, LLC  (Commercial - Bethesda, MD)",Yes,"$425,000","$425,000",2018-08-29,New Filing
335,"GS REAMES, LLC  (Commercial - Bethesda, MD)",Yes,"$625,000","$625,000",2018-08-29,New Filing
336,"Chase Therapeutics Corp  (Pharmaceuticals - Washington, DC)",Yes,"$4,000,000","$4,000,000",2018-08-28,New Filing
337,"Trustify Inc.  (Other Technology - Arlington, VA)",Yes,"$2,986,077","$2,986,077",2018-08-28,New Filing
338,"Dean Ventures 20, LLC  (Pooled Investment Fund - Vienna, VA)",No,"$187,224,952","$40,901,905",2018-08-28,Amended
339,"Dean Ventures II Holdings, LLC  (Pooled Investment Fund - Vienna, VA)",No,"$272,978,810","$16,485,547",2018-08-28,Amended
340,"Dean Ventures Holdings, LLC  (Investing - Vienna, VA)",No,"$650,267,483","$32,217,889",2018-08-28,Amended
341,"VECO Power Trading, LLC  (Other Energy - Vienna, VA)",No,"$11,507,582","$105,000",2018-08-28,Amended
342,"Dean Capital Investments Holdings, LLC  (Pooled Investment Fund - Vienna, VA)",No,"$557,894,982","$43,493,522",2018-08-28,Amended
343,"Tordesillas Latin America Fund (US), L.P.  (Pooled Investment Fund - Washington, DC)",No,"$78,500,000","$9,200,000",2018-08-27,Amended
344,"BlackLynx, Inc.  (Other - Rockville, MD)",Yes,"$4,026,188","$4,026,188",2018-08-27,New Filing
345,"Remco Software, Inc.  (Other - Laurel, MD)",Yes,Yet to Sell,$0,2018-08-27,New Filing
346,"Full Genomes Corp  (Other Technology - Rockville, MD)",Yes,"$187,932","$187,932",2018-08-27,New Filing
347,"qler Solutions, Inc.  (Other Health Care - Reston, VA)",Yes,"$925,000","$925,000",2018-08-24,New Filing
348,"qler Solutions, Inc.  (Other Health Care - Reston, VA)",No,"$699,000","$474,000",2018-08-24,Amended
349,"EIG Energy Fund XVII (Scotland), L.P.  (Pooled Investment Fund - Washington, DC)",No,"$508,810,790","$508,810,790",2018-08-24,Amended
350,"EIG Energy Fund XVII-B, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$629,040,405","$629,040,405",2018-08-24,Amended
351,"EIG Energy Fund XVII, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$672,190,000","$672,190,000",2018-08-24,Amended
352,"Paykii inc  (Other Technology - Arlington, VA)",No,"$1,100,000",$0,2018-08-24,Amended
353,"Carlyle Partners VII - EU, S.C.Sp.  (Pooled Investment Fund - Washington, DC)",No,"$1,000,000","$1,000,000",2018-08-23,Amended
354,"Carlyle Partners VII, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$16,978,290,308",$0,2018-08-23,Amended
355,"EJF OpZone Fund I LP  (Pooled Investment Fund - Arlington, VA)",Yes,Yet to Sell,$0,2018-08-23,New Filing
356,"Paykii inc  (Other Technology - Arlington, VA)",Yes,"$1,100,000","$1,100,000",2018-08-22,New Filing
357,"Structured Alternative Solutions, LLC ArbitrOption Series  (Pooled Investment Fund - Takoma Park, MD)",No,"$12,800,872",$0,2018-08-22,Amended
358,"Territory Foods, Inc.  (Other Technology - Alexandria, VA)",No,"$10,764,554","$4,000,001",2018-08-22,Amended
359,"QDD 15 LLC  (Construction - Tysons, VA)",Yes,"$300,000","$300,000",2018-08-22,New Filing
360,"Arcadia Power, Inc.  (Other Energy - Washington, DC)",Yes,"$21,000,000","$21,000,000",2018-08-21,New Filing
361,"Universal Building, Inc.  (REITS and Finance - Chevy Chase, MD)",Yes,"$125,000","$125,000",2018-08-21,New Filing
362,"H Street Building Corp  (REITS and Finance - Chevy Chase, MD)",Yes,"$125,000","$125,000",2018-08-21,New Filing
363,"JBGS/Warner, L.L.C.  (REITS and Finance - Chevy Chase, MD)",Yes,"$125,000","$125,000",2018-08-21,New Filing
364,"Venture Global LNG, Inc.  (Oil and Gas - Arlington, VA)",Yes,"$99,996,000","$99,996,000",2018-08-20,New Filing
365,"Bluesource Capital Fund A, LLC  (Pooled Investment Fund - Bethesda, MD)",Yes,Yet to Sell,$0,2018-08-20,New Filing
366,"HCH 1821 Portal, LLC  (Commercial - Bethesda, MD)",Yes,"$300,000","$300,000",2018-08-20,New Filing
367,"United Income, Inc.  (Other Banking and Financial Services - Washington, DC)",Yes,"$10,122,740","$10,122,740",2018-08-17,New Filing
368,"Fundrise Opportunity Fund, LP  (Other Real Estate - Washington, DC)",Yes,"$388,361","$388,361",2018-08-17,New Filing
369,"WCP VT Student Housing LLC  (Commercial - Mclean, VA)",Yes,"$600,000","$600,000",2018-08-17,New Filing
370,"Farragut SBIC Fund II, LP  (Pooled Investment Fund - Washington, DC)",Yes,"$29,875,000","$29,875,000",2018-08-17,New Filing
371,"Union Labor Life Insurance Co Separate Account R  (Pooled Investment Fund - Silver Spring, MD)",No,Yet to Sell,$0,2018-08-16,Amended
372,"Union Labor Life Insurance Co Separate Account W1  (Pooled Investment Fund - Silver Spring, MD)",No,"$70,505,867","$44,799,211",2018-08-16,Amended
373,"Ullico Infrastructure Taxable Fund, L.P.  (Pooled Investment Fund - Silver Spring, MD)",No,"$88,000,000","$13,000,000",2018-08-16,Amended
374,"Ullico Infrastructure Tax-Exempt Fund, L.P.  (Pooled Investment Fund - Silver Spring, MD)",No,"$910,250,000","$445,724,262",2018-08-16,Amended
375,"Ullico Diversified International Equity Fund, L.P.  (Pooled Investment Fund - Silver Spring, MD)",No,"$610,178,637","$7,658,245",2018-08-16,Amended
376,"Ullico International Group Trust  (Pooled Investment Fund - Silver Spring, MD)",No,"$217,329,789","$1,800,000",2018-08-16,Amended
377,"Ullico International Small Cap Fund, L.P.  (Pooled Investment Fund - Silver Spring, MD)",No,"$116,939,637",$0,2018-08-16,Amended
378,"Georgetown Opportunistic Fund Series LLC  (Pooled Investment Fund - Washington, DC)",No,"$38,485,433","$32,068,462",2018-08-16,Amended
379,"Georgetown Equity Alternatives Fund LLC  (Pooled Investment Fund - Washington, DC)",No,"$83,645,000","$60,000,000",2018-08-16,Amended
380,"Georgetown Multi Strategy Fund Series LLC  (Pooled Investment Fund - Washington, DC)",No,"$326,000,000","$156,500,000",2018-08-16,Amended
381,"Emphasis Fintech Fund I LP  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2018-08-16,New Filing
